Titel,År,Regi,Land,Genre,Längd,Skådespelare,Producent,Musik,Specialeffekter,Recension,Sökväg,Mitt Betyg,Disk 1,DIsk 2
Erik the Viking,1989,Terry Jones,UK/Sverige,"Adventure, Comedy",107 min,"Tim Robbins, John Cleese",John Goldstone,Neil Innes,N/A,[Recension](https://www.google.com/search?q=Erik+the+Viking+1989+movie+review),D:\FIlm Komedi\Erik.The.Viking.1989.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,,,X
Four Lions,2010,Christopher Morris,UK,"Comedy, Crime",97 min,"Riz Ahmed, Nigel Lindsay",Mark Herbert,N/A,N/A,[Recension](https://www.google.com/search?q=Four+Lions+2010+movie+review),D:\FIlm Komedi\Four.Lions.2010.1080p.BluRay.x264.YIFY.mp4,,,X
Göta kanal eller Vem drog ur proppen?,1981,Hans Iveberg,Sverige,Comedy,101 min,"Janne 'Loffe' Carlsson, Kim Anderzon",Hans Iveberg,Bengt Palmers,N/A,[Recension](https://www.google.com/search?q=Gota+kanal+Vem+drog+ur+proppen+review),D:\FIlm Komedi\Gota.Kanal.Eller.Vem.Drog.Ur.Proppen.1981.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,,,X
Grease,1978,Randal Kleiser,USA,"Musical, Comedy",110 min,"John Travolta, Olivia Newton-John",Allan Carr,N/A,N/A,[Recension](https://www.google.com/search?q=Grease+1978+movie+review),D:\FIlm Komedi\Grease.1978.1080p.BrRip.x264.Deceit.YIFY.mp4,,,X
Heavy Traffic,1973,Ralph Bakshi,USA,"Animation, Comedy",76 min,"Joseph Kaufmann, Beverly Hope Atkinson",Steve Krantz,Ed Bogas,N/A,[Recension](https://www.google.com/search?q=Heavy+Traffic+1973+movie+review),D:\FIlm Komedi\Heavy.Traffic.1973.1080p.BluRay.DDP2.0.x265.10bit-GalaxyRG265.mkv,,,X
High Anxiety,1977,Mel Brooks,USA,"Comedy, Mystery",94 min,"Mel Brooks, Madeline Kahn",Mel Brooks,John Morris,N/A,[Recension](https://www.google.com/search?q=High+Anxiety+Mel+Brooks+review),D:\FIlm Komedi\High.Anxiety.1977.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,,,X
History of the World: Part I,1981,Mel Brooks,USA,"Comedy, History",92 min,"Mel Brooks, Gregory Hines",Mel Brooks,John Morris,N/A,[Recension](https://www.google.com/search?q=History+of+the+World+Part+I+review),D:\FIlm Komedi\History.Of.The.World.Part.I.1981.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,,,X
Howard the Duck,1986,Willard Huyck,USA,"Comedy, Sci-Fi",110 min,"Lea Thompson, Jeffrey Jones",Gloria Katz,John Barry,Industrial Light & Magic,[Recension](https://www.google.com/search?q=Howard+the+Duck+1986+review),D:\FIlm Komedi\Howard the Duck [1986].mkv,,,X
Hundreds of Beavers,2022,Mike Cheslik,USA,"Comedy, Adventure",108 min,Ryland Brickson Cole Tews,Ryland Brickson Cole Tews,Chris Ryan,Mike Cheslik,[Recension](https://www.google.com/search?q=Hundreds+of+Beavers+2022+review),D:\FIlm Komedi\Hundreds.Of.Beavers.2022.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,,,X
In God We Trust,1980,Marty Feldman,USA,Comedy,97 min,"Marty Feldman, Peter Boyle",Howard West,John Morris,N/A,[Recension](https://www.google.com/search?q=In+God+We+Trust+1980+movie+review),D:\FIlm Komedi\In.God.We.Trust.1980.1080p.BluRay.x264.AAC-[YTS.MX].mp4,,,X
Jabberwocky,1977,Terry Jones,UK,"Comedy, Fantasy",105 min,"Michael Palin, Harry H. Corbett",John Goldstone,N/A,N/A,[Recension](https://www.google.com/search?q=Jabberwocky+1977+movie+review),D:\FIlm Komedi\Jabberwocky.mp4,,,X
Life of Brian,1979,Terry Jones,UK,Comedy,94 min,"Graham Chapman, John Cleese",John Goldstone,Geoffrey Burgon,N/A,[Recension](https://www.google.com/search?q=Life+of+Brian+1979+movie+review),D:\FIlm Komedi\Life.Of.Brian..1979.1080p.BluRay.X264.YIFY.mp4,,,X
Looks Like a Brown Trouser Job,1989,N/A,UK,"Comedy, Documentary",60 min,Graham Chapman,N/A,N/A,N/A,[Recension](https://www.google.com/search?q=Graham+Chapman+Brown+Trouser+Job+review),D:\FIlm Komedi\Looks Like a Brown Trouser Job - Monty Python's Graham Chapman College Tour (1989).avi,,,X
Monty Python and the Holy Grail,1975,"Terry Gilliam, Terry Jones",UK,"Comedy, Fantasy",91 min,"Graham Chapman, John Cleese",Mark Forstater,Neil Innes,N/A,[Recension](https://www.google.com/search?q=Monty+Python+and+the+Holy+Grail+review),D:\FIlm Komedi\Monty.Python.And.The.Holy.Grail.1975.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,,,X
Monty Python Live at the Hollywood Bowl,1982,"Terry Hughes, Ian MacNaughton",UK,Comedy,77 min,"Graham Chapman, John Cleese",N/A,N/A,N/A,[Recension](https://www.google.com/search?q=Monty+Python+Live+at+the+Hollywood+Bowl+review),D:\FIlm Komedi\Monty.Python.Live.At.The.Hollywood.Bowl.1982.1080p.WEBRip.x264.AAC-[YTS.MX].mp4,,,X
Mouse Hunt,1997,Gore Verbinski,USA,"Comedy, Family",98 min,"Nathan Lane, Lee Evans",Alan Riche,Alan Silvestri,N/A,[Recension](https://www.google.com/search?q=Mouse+Hunt+1997+movie+review),D:\FIlm Komedi\Mouse Hunt [1997].mkv,,,X
Naked Gun 33 1/3: The Final Insult,1994,Peter Segal,USA,"Comedy, Crime",93 min,"Leslie Nielsen, Priscilla Presley",Robert K. Weiss,Ira Newborn,N/A,[Recension](https://www.google.com/search?q=Naked+Gun+33+1/3+review),D:\FIlm Komedi\Naked.Gun.33.1.3.The.Final.Insult.1994.1080p.BluRay.H264.AAC-RARBG.mp4,,,X
National Lampoon's European Vacation,1985,Amy Heckerling,USA,Comedy,94 min,"Chevy Chase, Beverly D'Angelo",Matty Simmons,Charles Fox,N/A,[Recension](https://www.google.com/search?q=National+Lampoons+European+Vacation+review),D:\FIlm Komedi\National.Lampoons.European.Vacation.1985.1080p.BluRay.x264.AAC-[YTS.MX].mp4,,,X
Nothing But Trouble,1991,Dan Aykroyd,USA,Comedy,94 min,"Chevy Chase, Dan Aykroyd",Robert K. Weiss,Michael Kamen,N/A,[Recension](https://www.google.com/search?q=Nothing+But+Trouble+1991+movie+review),D:\FIlm Komedi\Nothing But Trouble DVDRip XviD -IZON- (Kingdom-Release).avi,,,X
Overboard,1987,Garry Marshall,USA,"Comedy, Romance",112 min,"Goldie Hawn, Kurt Russell",Alexandra Rose,Alan Silvestri,N/A,[Recension](https://www.google.com/search?q=Overboard+1987+movie+review),D:\FIlm Komedi\Overboard.1987.1080p.BluRay.x264-[YTS.AG].mp4,,,X
Pee-wee's Big Adventure,1985,Tim Burton,USA,"Adventure, Comedy",91 min,"Paul Reubens, Elizabeth Daily",Robert Shapiro,Danny Elfman,N/A,[Recension](https://www.google.com/search?q=Peewees+Big+Adventure+1985+review),D:\FIlm Komedi\Pee-wee's.Big.Adventure.1985.1080p.BluRay.x264-[YTS.AG].mp4,,,X
Personal Services,1987,Terry Jones,UK,Comedy,105 min,"Julie Walters, Alec McCowen",Tim Bevan,John Du Prez,N/A,[Recension](https://www.google.com/search?q=Personal+Services+1987+movie+review),D:\FIlm Komedi\Personal.Services.1987.1080p.WEBRip.x264.AAC-[YTS.MX].mp4,,,X
"Planes, Trains and Automobiles",1987,John Hughes,USA,Comedy,93 min,"Steve Martin, John Candy",John Hughes,Ira Newborn,N/A,[Recension](https://www.google.com/search?q=Planes+Trains+and+Automobiles+review),D:\FIlm Komedi\Planes.Trains.Automobiles.1987.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,,,X
Police Squad! (Ep 1),1982,"Jim Abrahams, David Zucker",USA,Comedy,25 min,"Leslie Nielsen, Alan North",Robert K. Weiss,Ira Newborn,N/A,[Recension](https://www.google.com/search?q=Police+Squad+1982+review),D:\FIlm Komedi\Police Squad A Substantial Gift - Comedy 1982 Eng Subs 720p [H264-mp4].mp4,,,X
Police Squad! (Ep 2),1982,"Jim Abrahams, David Zucker",USA,Comedy,25 min,"Leslie Nielsen, Alan North",Robert K. Weiss,Ira Newborn,N/A,[Recension](https://www.google.com/search?q=Police+Squad+1982+review),D:\FIlm Komedi\Police Squad Rendezvous At Big Gulch - Comedy 1982 Eng Subs 720p [H264-mp4].mp4,,,X
Police Squad! (Ep 3),1982,"Jim Abrahams, David Zucker",USA,Comedy,25 min,"Leslie Nielsen, Alan North",Robert K. Weiss,Ira Newborn,N/A,[Recension](https://www.google.com/search?q=Police+Squad+1982+review),D:\FIlm Komedi\Police Squad Revenge And Remorse - Comedy 1982 Eng Subs 720p [H264-mp4].mp4,,,X
Police Squad! (Ep 4),1982,"Jim Abrahams, David Zucker",USA,Comedy,25 min,"Leslie Nielsen, Alan North",Robert K. Weiss,Ira Newborn,N/A,[Recension](https://www.google.com/search?q=Police+Squad+1982+review),D:\FIlm Komedi\Police Squad Ring Of Fear - Comedy 1982 Eng Subs 720p [H264-mp4].mp4,,,X
Police Squad! (Ep 5),1982,"Jim Abrahams, David Zucker",USA,Comedy,25 min,"Leslie Nielsen, Alan North",Robert K. Weiss,Ira Newborn,N/A,[Recension](https://www.google.com/search?q=Police+Squad+1982+review),D:\FIlm Komedi\Police Squad Testimony Of Evil - Comedy 1982 Eng Subs 720p [H264-mp4].mp4,,,X
Police Squad! (Ep 6),1982,"Jim Abrahams, David Zucker",USA,Comedy,25 min,"Leslie Nielsen, Alan North",Robert K. Weiss,Ira Newborn,N/A,[Recension](https://www.google.com/search?q=Police+Squad+1982+review),D:\FIlm Komedi\Police Squad The Butler Did It - Comedy 1982 Eng Subs 720p [H264-mp4].mp4,,,X
Porky's,1981,Bob Clark,USA/Kanada,Comedy,94 min,"Dan Monahan, Mark Herrier",Don Carmody,Carl Zittrer,N/A,[Recension](https://www.google.com/search?q=Porkys+1981+movie+review),D:\FIlm Komedi\Porkys.1981.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,,,X
Raising Arizona (Copy 1),1987,Joel Coen,USA,"Comedy, Crime",94 min,"Nicolas Cage, Holly Hunter",Ethan Coen,Carter Burwell,N/A,[Recension](https://www.google.com/search?q=Raising+Arizona+1987+movie+review),D:\FIlm Komedi\Raising.Arizona.1987.1080p.BluRay.DDP5.1.x265.10bit-GalaxyRG265.mkv,,,X
Raising Arizona (Copy 2),1987,Joel Coen,USA,"Comedy, Crime",94 min,"Nicolas Cage, Holly Hunter",Ethan Coen,Carter Burwell,N/A,[Recension](https://www.google.com/search?q=Raising+Arizona+1987+movie+review),D:\FIlm Komedi\Raising.Arizona.1987.1080p.BluRay.H264.AAC-RARBG.mp4,,,X
Real Life,1979,Albert Brooks,USA,Comedy,99 min,"Albert Brooks, Charles Grodin",Penelope Spheeris,Mort Garson,N/A,[Recension](https://www.google.com/search?q=Real+Life+Albert+Brooks+review),D:\FIlm Komedi\Real Life (1979) (DVD).mkv,,,X
Repmånad eller Hur man gör pojkar av män,1979,Lasse Åberg,Sverige,Comedy,105 min,"Lasse Åberg, Janne 'Loffe' Carlsson",N/A,Bengt Palmers,N/A,[Recension](https://www.google.com/search?q=Repmanad+Lasse+Aberg+review),D:\FIlm Komedi\Repmanad.Eller.Hur.Man.Gor.Pojkar.Av.Man.1979.BLURAY.1080p.BluRay.x264.AAC-[YTS.BZ].mp4,,,X
Revenge of the Pink Panther,1978,Blake Edwards,UK/USA,"Comedy, Crime",99 min,"Peter Sellers, Herbert Lom",Blake Edwards,Henry Mancini,N/A,[Recension](https://www.google.com/search?q=Revenge+of+the+Pink+Panther+review),D:\FIlm Komedi\Revenge.Of.The.Pink.Panther.1978.1080p.BluRay.x264-[YTS.AG].mp4,,,X
Rock 'n' Roll High School,1979,Allan Arkush,USA,"Comedy, Music",93 min,"P.J. Soles, Vincent Van Patten",Michael Finnell,The Ramones,N/A,[Recension](https://www.google.com/search?q=Rock+n+Roll+High+School+review),D:\FIlm Komedi\Rock.N.Roll.High.School.1979.1080p.BluRay.x265-RARBG.mp4,,,X
Roxanne,1987,Fred Schepisi,USA,"Comedy, Romance",107 min,"Steve Martin, Daryl Hannah",Daniel Melnick,Bruce Smeaton,N/A,[Recension](https://www.google.com/search?q=Roxanne+1987+movie+review),D:\FIlm Komedi\Roxanne.1987.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,,,X
Silent Movie,1976,Mel Brooks,USA,Comedy,87 min,"Mel Brooks, Marty Feldman",Michael Hertzberg,John Morris,N/A,[Recension](https://www.google.com/search?q=Silent+Movie+Mel+Brooks+review),D:\FIlm Komedi\Silent.Movie.1976.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,,,X
Sixteen Candles,1984,John Hughes,USA,"Comedy, Romance",93 min,"Molly Ringwald, Anthony Michael Hall",Hilton A. Green,Ira Newborn,N/A,[Recension](https://www.google.com/search?q=Sixteen+Candles+1984+review),D:\FIlm Komedi\Sixteen.Candles.1984.1080p.BluRay.x264-[YTS.AG].mp4,,,X
Stripes,1981,Ivan Reitman,USA,"Comedy, War",106 min,"Bill Murray, Harold Ramis",Ivan Reitman,Elmer Bernstein,N/A,[Recension](https://www.google.com/search?q=Stripes+1981+movie+review),D:\FIlm Komedi\Stripes.1981.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,,,X
Sällskapsresan eller Finns det svenskt kaffe på grisfesten?,1980,Lasse Åberg,Sverige,Comedy,107 min,"Lasse Åberg, Jon Skolmen",Bo Jönsson,Bengt Palmers,N/A,[Recension](https://www.google.com/search?q=Sallskapsresan+1980+review),D:\FIlm Komedi\SÑllskapsresan 1980.mp4,,,X
The Addams Family,1991,Barry Sonnenfeld,USA,"Comedy, Fantasy",99 min,"Anjelica Huston, Raul Julia",Scott Rudin,Marc Shaiman,N/A,[Recension](https://www.google.com/search?q=The+Addams+Family+1991+review),D:\FIlm Komedi\The Addams.Family.1991.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.mkv,,,X
The Addams Family Values,1993,Barry Sonnenfeld,USA,"Comedy, Fantasy",94 min,"Anjelica Huston, Raul Julia",Scott Rudin,Marc Shaiman,N/A,[Recension](https://www.google.com/search?q=The+Addams+Family+Values+review),D:\FIlm Komedi\The Addams.Family.Values.1993.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.mkv,,,X
The Adventures of Ford Fairlane,1990,Renny Harlin,USA,"Action, Comedy",104 min,"Andrew Dice Clay, Wayne Newton",Joel Silver,Yello,N/A,[Recension](https://www.google.com/search?q=The+Adventures+of+Ford+Fairlane+review),D:\FIlm Komedi\The Adventures.Of.Ford.Fairlane.1990.1080p.BluRay.x264.[YTS.mp4,,,X
The Best of Victor Borge (Act 1 & 2),1990,N/A,USA,"Comedy, Music",100 min,Victor Borge,N/A,Victor Borge,N/A,[Recension](https://www.google.com/search?q=The+Best+of+Victor+Borge+review),D:\FIlm Komedi\The Best Of Victor Borge - Act One and Two [CG].avi,,,X
The Birdcage,1996,Mike Nichols,USA,Comedy,117 min,"Robin Williams, Nathan Lane",Mike Nichols,Jonathan Tunick,N/A,[Recension](https://www.google.com/search?q=The+Birdcage+1996+movie+review),D:\FIlm Komedi\The Birdcage.1996.1080p.BluRay.x264-[YTS.mp4,,,X
The Blues Brothers (Extended),1980,John Landis,USA,"Action, Comedy",148 min,"John Belushi, Dan Aykroyd",Robert K. Weiss,N/A,N/A,[Recension](https://www.google.com/search?q=The+Blues+Brothers+1980+review),D:\FIlm Komedi\The Blues.Brothers.1980.Extended.1080p.BluRay.DDP.7.1.H.265-EDGE2020.mkv,,,X
The Cabbage Soup (Le Gendarme et les extra-terrestres),1981,Jean Girault,Frankrike,"Comedy, Sci-Fi",102 min,"Louis de Funès, Jean Carmet",Gérard Beytout,Raymond Lefèvre,N/A,[Recension](https://www.google.com/search?q=The+Cabbage+Soup+review),D:\FIlm Komedi\The Cabbage.Soup.1981.1080p.BluRay.x264.AAC-[YTS.mp4,,,X
The Cannonball Run,1981,Hal Needham,USA/Hong Kong,"Action, Comedy",95 min,"Burt Reynolds, Roger Moore",Albert S. Ruddy,Al Capps,N/A,[Recension](https://www.google.com/search?q=The+Cannonball+Run+1981+review),D:\FIlm Komedi\The Cannonball.Run.1981.1080p.BluRay.x264-[YTS.mp4,,,X
The Man with Two Brains,1983,Carl Reiner,USA,"Comedy, Sci-Fi",93 min,"Steve Martin, Kathleen Turner",William E. McEuen,Joel Goldsmith,N/A,[Recension](https://www.google.com/search?q=The+Man+with+Two+Brains+review),D:\FIlm Komedi\The Man.With.Two.Brains.1983.1080p.WEBRip.x264-[YTS.LT].mp4,,,X
The Meaning of Life,1983,Terry Jones,UK,"Comedy, Musical",107 min,"Graham Chapman, John Cleese",John Goldstone,N/A,N/A,[Recension](https://www.google.com/search?q=The+Meaning+of+Life+Monty+Python+review),D:\FIlm Komedi\The Meaning.Of.Life.1983.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.mkv,,,X
The Money Pit,1986,Richard Benjamin,USA,Comedy,91 min,"Tom Hanks, Shelley Long",Kathleen Kennedy,Michel Colombier,N/A,[Recension](https://www.google.com/search?q=The+Money+Pit+1986+movie+review),D:\FIlm Komedi\The Money.Pit.1986.1080p.BluRay.H264.mp4,,,X
The Naked Gun 2½: The Smell of Fear,1991,David Zucker,USA,"Comedy, Crime",85 min,"Leslie Nielsen, Priscilla Presley",Robert K. Weiss,Ira Newborn,N/A,[Recension](https://www.google.com/search?q=The+Naked+Gun+2+1/2+review),D:\FIlm Komedi\The Naked Gun 2 The Smell Of Fear.mp4,,,X
The Naked Gun 33⅓: The Final Insult,1994,Peter Segal,USA,"Comedy, Crime",93 min,"Leslie Nielsen, Priscilla Presley",Robert K. Weiss,Ira Newborn,N/A,[Recension](https://www.google.com/search?q=Naked+Gun+33+1/3+review),D:\FIlm Komedi\The Naked Gun 3 The Final Insult].mp4,,,X
The Naked Gun: From the Files of Police Squad!,1988,David Zucker,USA,"Comedy, Crime",85 min,"Leslie Nielsen, Priscilla Presley",Robert K. Weiss,Ira Newborn,N/A,[Recension](https://www.google.com/search?q=The+Naked+Gun+1988+review),D:\FIlm Komedi\The Naked Gun.mp4,,,X
The Naked Gun 2½: The Smell of Fear (H.265 Copy),1991,David Zucker,USA,"Comedy, Crime",85 min,"Leslie Nielsen, Priscilla Presley",Robert K. Weiss,Ira Newborn,N/A,[Recension](https://www.google.com/search?q=The+Naked+Gun+2+1/2+review),D:\FIlm Komedi\The.Naked.Gun.2.1.2.The.Smell.of.Fear.1991.1080p.MAX.WEB-DL.DDP.5.1.H.265-PiRaTeS.mkv,,,X
The Party,1968,Blake Edwards,USA,Comedy,99 min,"Peter Sellers, Claudine Longet",Blake Edwards,Henry Mancini,N/A,[Recension](https://www.google.com/search?q=The+Party+1968+movie+review),D:\FIlm Komedi\The Party.1968.1080p.BluRay.H264.mp4,,,X
The Pink Panther Strikes Again,1976,Blake Edwards,UK/USA,"Comedy, Crime",103 min,"Peter Sellers, Herbert Lom",Blake Edwards,Henry Mancini,N/A,[Recension](https://www.google.com/search?q=The+Pink+Panther+Strikes+Again+review),D:\FIlm Komedi\The Pink.Panther.Strikes.Again.1976.1080p.BluRay.x264.AAC5.1-[YTS.mp4,,,X
The Return of the Pink Panther,1975,Blake Edwards,UK/USA,"Comedy, Crime",113 min,"Peter Sellers, Christopher Plummer",Blake Edwards,Henry Mancini,N/A,[Recension](https://www.google.com/search?q=The+Return+of+the+Pink+Panther+review),D:\FIlm Komedi\The Return.Of.The.Pink.Panther.1975.1080p.BluRay.x264-[YTS.mp4,,,X
The War of the Roses,1989,Danny DeVito,USA,"Comedy, Drama",116 min,"Michael Douglas, Kathleen Turner",Arnon Milchan,David Newman,N/A,[Recension](https://www.google.com/search?q=The+War+of+the+Roses+1989+review),D:\FIlm Komedi\The War.of.the.Roses.1989.720p.BluRay.H264.mp4,,,X
The Breakfast Club,1985,John Hughes,USA,"Comedy, Drama",97 min,"Emilio Estevez, Judd Nelson, Molly Ringwald",Ned Tanen,Keith Forsey,N/A,[Recension](https://www.google.com/search?q=The+Breakfast+Club+1985+review),D:\FIlm Komedi\The.Breakfast.Club.1985.REMASTERED.REPACK.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,,,X
The Jerk,1979,Carl Reiner,USA,Comedy,94 min,"Steve Martin, Bernadette Peters",William E. McEuen,Jack Elliott,N/A,[Recension](https://www.google.com/search?q=The+Jerk+1979+movie+review),D:\FIlm Komedi\The.Jerk.1979.1080p.BluRay.x264.YIFY.mp4,,,X
The Man Who Knew Too Little,1997,Jon Amiel,USA/Tyskland,"Comedy, Crime",94 min,"Bill Murray, Peter Gallagher",Arnon Milchan,Christopher Young,N/A,[Recension](https://www.google.com/search?q=The+Man+Who+Knew+Too+Little+review),D:\FIlm Komedi\The.Man.Who.Knew.Too.Little.1997.1080p.BluRay.x264.YIFY.mp4,,,X
The Sword in the Stone,1963,Wolfgang Reitherman,USA,"Animation, Adventure",79 min,"Rickie Sorensen, Sebastian Cabot",Walt Disney,George Bruns,N/A,[Recension](https://www.google.com/search?q=The+Sword+in+the+Stone+1963+review),D:\FIlm Komedi\The.Sword.in.the.Stone.1963.1080p.BluRay.DDP.5.1.x265-EDGE2020.mkv,,,X
Three Amigos!,1986,John Landis,USA,"Comedy, Western",104 min,"Steve Martin, Chevy Chase, Martin Short",Lorne Michaels,Elmer Bernstein,N/A,[Recension](https://www.google.com/search?q=Three+Amigos+1986+movie+review),D:\FIlm Komedi\Three Amigos.1986.1080p.BluRay.x264.AAC5.1-[YTS.mp4,,,X
Top Secret!,1984,"Jim Abrahams, David Zucker",USA/UK,Comedy,90 min,"Val Kilmer, Lucy Gutteridge",Jon Davison,Maurice Jarre,N/A,[Recension](https://www.google.com/search?q=Top+Secret+1984+movie+review),D:\FIlm Komedi\Top Secret! (1984) (1080p BDRip x265 10bit EAC3 5.1 - timesuck).mkv,,,X
Trading Places,1983,John Landis,USA,Comedy,116 min,"Dan Aykroyd, Eddie Murphy",Aaron Russo,Elmer Bernstein,N/A,[Recension](https://www.google.com/search?q=Trading+Places+1983+movie+review),D:\FIlm Komedi\Trading Places.1983.1080p.BluRay.DV.HDR.X265.DD.5.mkv,,,X
Transylvania 6-5000,1985,Rudy De Luca,USA/Jugoslavien,"Comedy, Horror",93 min,"Jeff Goldblum, Joseph Bologna",Mace Neufeld,Lee Holdridge,N/A,[Recension](https://www.google.com/search?q=Transylvania+6-5000+1985+review),D:\FIlm Komedi\Transylvania.6-5000.1985.1080p.BluRay.x265-RARBG.mp4,,,X
The Wedding Singer,1998,Frank Coraci,USA,"Comedy, Music",95 min,"Adam Sandler, Drew Barrymore",Robert Simonds,Teddy Castellucci,N/A,[Recension](https://www.google.com/search?q=The+Wedding+Singer+1998+movie+review),D:\FIlm Komedi\The.Wedding.Singer.1998.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,,,X
The Woman in Red,1984,Gene Wilder,USA,"Comedy, Romance",87 min,"Gene Wilder, Kelly LeBrock",Victor Drai,John Morris,N/A,[Recension](https://www.google.com/search?q=The+Woman+in+Red+1984+movie+review),D:\FIlm Komedi\The.Woman.In.Red.1984.1080p.BluRay.x264.AAC-[YTS.MX].mp4,,,X
The Wrong Arm of the Law,1963,Cliff Owen,UK,"Comedy, Crime",94 min,"Peter Sellers, Lionel Jeffries",Aubrey Baring,Richard Rodney Bennett,N/A,[Recension](https://www.google.com/search?q=The+Wrong+Arm+of+the+Law+1963+review),D:\FIlm Komedi\The.Wrong.Arm.Of.The.Law.1963.1080p.BluRay.x264.AAC-[YTS.MX].mp4,,,X
The Zany Adventures of Robin Hood,1984,Ray Austin,USA,Comedy,100 min,"George Segal, Morgan Fairchild",N/A,N/A,N/A,[Recension](https://www.google.com/search?q=The+Zany+Adventures+of+Robin+Hood+review),D:\FIlm Komedi\The.Zany.Adventures.Of.Robin.Hood.1984.1080p.WEBRip.x264.AAC-[YTS.MX].mp4,,,X
Used Cars,1980,Robert Zemeckis,USA,Comedy,113 min,"Kurt Russell, Jack Warden",Bob Gale,Patrick Williams,N/A,[Recension](https://www.google.com/search?q=Used+Cars+1980+movie+review),D:\FIlm Komedi\Used.Cars.1980.1080p.BluRay.x264.AAC-[YTS.MX].mp4,,,X
Very Important Person,1961,Ken Annakin,UK,"Comedy, War",101 min,"James Robertson Justice, Leslie Phillips",Julian Wintle,N/A,N/A,[Recension](https://www.google.com/search?q=Very+Important+Person+1961+movie+review),D:\FIlm Komedi\Very.Important.Person.1961.1080p.BluRay.x264.AAC-[YTS.MX].mp4,,,X
Waiting for Guffman,1996,Christopher Guest,USA,Comedy,84 min,"Christopher Guest, Eugene Levy",Karen Murphy,N/A,N/A,[Recension](https://www.google.com/search?q=Waiting+for+Guffman+1996+movie+review),D:\FIlm Komedi\Waiting.For.Guffman.1996.1080p.BluRay.x264.AAC-[YTS.MX].mp4,,,X
Wayne's World,1992,Penelope Spheeris,USA,"Comedy, Music",94 min,"Mike Myers, Dana Carvey",Lorne Michaels,J. Peter Robinson,N/A,[Recension](https://www.google.com/search?q=Waynes+World+1992+movie+review),D:\FIlm Komedi\Waynes.World.1992.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,,,X
